,Code,Meaning,Local Reference,2015,2016,2017,2018,2019,2020,2021,2022,EU
78,10YDK-2--------M,"LFA|DK2, MBA|DK2, SCA|DK2, IBA|DK2, IPA|DK2, BZN|DK2",DK_2,0.0591,0.06105,0.06225,0.0622,0.0626,0.05775,0.09375,0.1595,YES
79,10YDOM-1001A082L,"CTA|PL-CZ, BZA|PL-CZ",PL_CZ,0.0833,0.07655,0.0662,0.06485,0.07125,0.0792,0.0708,0.0987,YES
80,10YDOM-CZ-DE-SKK,"BZA|CZ-DE-SK, BZN|CZ+DE+SK",CZ_DE_SK,0.0761,0.07205,0.0688,0.0716,0.06535,0.07145,0.07485,0.1444,YES
81,10YDOM-PL-SE-LT2,BZA|LT-SE4,LT-SE4,0.0818,0.07535,0.0691,0.07315,0.0843,0.0886,0.1113,0.1758,YES
82,10YDOM-REGION-1V,REG|CWE,CWE,0.085484615,0.080773077,0.076301923,0.079803846,0.083959615,0.082836538,0.098646154,0.162338462,YES
83,10YES-REE------0,"LFB|ES, LFA|ES, BZN|ES, Spain (ES), CTA|ES, SCA|ES, MBA|ES",ES,0.1116,0.1015,0.0996,0.10265,0.0896,0.0834,0.1023,0.1769,YES
84,10YEU-CONT-SYNC0,SNA|Continental Europe,PT-EU,0.085484615,0.080773077,0.076301923,0.079803846,0.083959615,0.082836538,0.098646154,0.162338462,YES
85,10YFI-1--------U,"MBA|FI, SCA|FI, CTA|FI, Finland (FI), BZN|FI, IPA|FI, IBA|FI",FI,0.0637,0.0619,0.06005,0.06235,0.0645,0.0657,0.0731,0.0802,YES
86,10YFR-RTE------C,"BZN|FR, France (FR), CTA|FR, SCA|FR, MBA|FR, LFB|FR, LFA|FR",FR,0.0776,0.06845,0.06995,0.07025,0.07745,0.08005,0.083,0.1209,YES
87,10YGB----------A,"LFA|GB, LFB|GB, SNA|GB, MBA|GB, SCA|GB, CTA|National Grid, BZN|GB",GB,0.1294,0.11565,0.1094,0.12055,0.12835,0.12585,0.1578,0.2104,YES
88,10YGR-HTSO-----Y,"BZN|GR, Greece (GR), CTA|GR, SCA|GR, MBA|GR, LFB|GR, LFA|GR",GR,0.1037,0.0902,0.0866,0.07915,0.08125,0.0814,0.14515,0.3696,YES
89,10YHR-HEP------M,"LFA|HR, MBA|HR, SCA|HR, CTA|HR, Croatia (HR), BZN|HR",HR,0.0869,0.0838,0.08165,0.08575,0.0897,0.0888,0.09395,0.141,YES
90,10YHU-MAVIR----U,"BZN|HU, Hungary (HU), CTA|HU, SCA|HU, MBA|HU, LFA|HU, LFB|HU",HU,0.0778,0.0724,0.06435,0.07375,0.08585,0.0841,0.0908,0.1598,YES
91,10YIE-1001A00010,"MBA|SEM(EirGrid), SCA|IE, CTA|IE, Ireland (IE)",IE,0.1294,0.11565,0.1094,0.12055,0.12835,0.12585,0.1578,0.2104,YES
